VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_B.wav,2,3,NEW,C,,,2,1,0.850615,0,26,26,26,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,2,3,NEW,C,,,2,1,0.40252,0,27,27,27,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Coin_D.wav,2,3,NEW,C,,,2,1,1.44799,0,28,28,28,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_A.wav,2,2,SIMILAR,C,,,2,1,0.593745,0,29,29,29,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/PaperRip.wav,2,3,NEW,C,,,2,1,1.402475,0,30,30,30,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,1,1,OLD,C,,,1,1,0.53477,0,31,31,31,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,1,1,OLD,C,,,1,1,0.24745,0,32,32,32,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,1,1,OLD,C,,,1,1,0.44223,0,33,33,33,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_B.wav,2,3,NEW,C,,,2,1,0.710475,0,34,34,34,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,1,1,OLD,C,,,1,1,0.753155,0,35,35,35,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_F.wav,2,2,SIMILAR,C,,,1,0,1.238635,0,36,36,36,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,1,1,OLD,C,,,1,1,0.93082,0,37,37,37,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bullfrog.wav,2,3,NEW,C,,,2,1,0.36821,0,38,38,38,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,1,1,OLD,C,,,1,1,0.582075,0,39,39,39,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Helicopter_A.wav,2,3,NEW,C,,,2,1,0.077895,0,40,40,40,1,,
