VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Baby_F.wav,2,3,NEW,A,,,2,1,0.631345,0,8,8,8,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,1,1,OLD,A,,,2,0,0.354375,0,9,9,9,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Mosquito_B.wav,2,3,NEW,A,,,2,1,0.62252,0,10,10,10,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/DialTone.wav,2,3,NEW,A,,,2,1,0.546825,0,11,11,11,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Elephant_A.wav,2,2,SIMILAR,A,,,2,1,1.293695,0,12,12,12,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Writing_A.wav,2,3,NEW,A,,,2,1,0.56829,0,13,13,13,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_A.wav,2,3,NEW,A,,,2,1,1.210795,0,14,14,14,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Typing.wav,1,1,OLD,A,,,1,1,0.661405,0,15,15,15,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,1,1,OLD,A,,,1,1,0.671305,0,16,16,16,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Wind_B.wav,2,3,NEW,A,,,2,1,0.50964,0,17,17,17,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,1,1,OLD,A,,,1,1,0.876825,0,18,18,18,1,,
